,Fecha Hora,Fecha Hora(RAW),Tiempo de carga en mseg,Tiempo de carga(RAW),Porcentaje de tiempo de inactividad,Tiempo de inactividad(RAW),Porcentaje de cobertura,Cobertura(RAW)
146,20-06-2023 2:00:00 - 3:00:00,45097.2916666667,855,855.3833,0 ,0.0,100 ,10000.0
147,20-06-2023 3:00:00 - 4:00:00,45097.3333333333,853,852.5167,0 ,0.0,100 ,10000.0
148,20-06-2023 4:00:00 - 5:00:00,45097.375,856,856.1,0 ,0.0,100 ,10000.0
149,20-06-2023 5:00:00 - 6:00:00,45097.4166666667,853,852.85,0 ,0.0,100 ,10000.0
150,20-06-2023 6:00:00 - 7:00:00,45097.4583333333,851,850.6833,0 ,0.0,100 ,10000.0
151,20-06-2023 7:00:00 - 8:00:00,45097.5,845,844.85,0 ,0.0,100 ,10000.0
152,20-06-2023 8:00:00 - 9:00:00,45097.5416666667,851,850.7333,0 ,0.0,100 ,10000.0
153,20-06-2023 9:00:00 - 10:00:00,45097.5833333333,864,863.5333,0 ,0.0,100 ,10000.0
154,20-06-2023 10:00:00 - 11:00:00,45097.625,939,939.1,0 ,0.0,100 ,10000.0
155,20-06-2023 11:00:00 - 12:00:00,45097.6666666667,1.158,1157.9,0 ,0.0,100 ,10000.0
156,20-06-2023 12:00:00 - 13:00:00,45097.7083333333,854,853.8,0 ,0.0,100 ,10000.0
157,20-06-2023 13:00:00 - 14:00:00,45097.75,1.219,1218.8833,0 ,0.0,100 ,10000.0
158,20-06-2023 14:00:00 - 15:00:00,45097.7916666667,883,882.8667,0 ,0.0,100 ,10000.0
159,20-06-2023 15:00:00 - 16:00:00,45097.8333333333,845,844.8167,0 ,0.0,100 ,10000.0
160,20-06-2023 16:00:00 - 17:00:00,45097.875,853,853.3333,0 ,0.0,100 ,10000.0
161,20-06-2023 17:00:00 - 18:00:00,45097.9166666667,860,859.5,0 ,0.0,100 ,10000.0
162,20-06-2023 18:00:00 - 19:00:00,45097.9583333333,841,840.5333,0 ,0.0,100 ,10000.0
163,20-06-2023 19:00:00 - 20:00:00,45098.0,847,846.9667,0 ,0.0,100 ,10000.0
164,20-06-2023 20:00:00 - 21:00:00,45098.0416666667,864,863.5333,0 ,0.0,100 ,10000.0
165,20-06-2023 21:00:00 - 22:00:00,45098.0833333333,853,852.7833,0 ,0.0,100 ,10000.0
166,20-06-2023 22:00:00 - 23:00:00,45098.125,848,848.4167,0 ,0.0,100 ,10000.0
167,20-06-2023 23:00:00 - 0:00:00,45098.1666666667,853,852.9167,0 ,0.0,100 ,10000.0
168,21-06-2023 0:00:00 - 1:00:00,45098.2083333333,839,838.75,0 ,0.0,100 ,10000.0
169,21-06-2023 1:00:00 - 2:00:00,45098.25,899,899.3167,0 ,0.0,100 ,10000.0
170,21-06-2023 2:00:00 - 3:00:00,45098.2916666667,867,867.3167,0 ,0.0,100 ,10000.0
171,21-06-2023 3:00:00 - 4:00:00,45098.3333333333,843,843.25,0 ,0.0,100 ,10000.0
172,21-06-2023 4:00:00 - 5:00:00,45098.375,843,843.15,0 ,0.0,100 ,10000.0
173,21-06-2023 5:00:00 - 6:00:00,45098.4166666667,851,850.9,0 ,0.0,100 ,10000.0
174,21-06-2023 6:00:00 - 7:00:00,45098.4583333333,862,861.9333,0 ,0.0,100 ,10000.0
175,21-06-2023 7:00:00 - 8:00:00,45098.5,843,843.3167,0 ,0.0,100 ,10000.0
176,21-06-2023 8:00:00 - 9:00:00,45098.5416666667,836,835.8,0 ,0.0,100 ,10000.0
177,21-06-2023 9:00:00 - 10:00:00,45098.5833333333,837,836.85,0 ,0.0,100 ,10000.0
178,21-06-2023 10:00:00 - 11:00:00,45098.625,837,837.0667,0 ,0.0,100 ,10000.0
179,21-06-2023 11:00:00 - 12:00:00,45098.6666666667,839,838.5833,0 ,0.0,100 ,10000.0
180,21-06-2023 12:00:00 - 13:00:00,45098.7083333333,841,840.7167,0 ,0.0,100 ,10000.0
181,21-06-2023 13:00:00 - 14:00:00,45098.75,841,841.3,0 ,0.0,100 ,10000.0
182,21-06-2023 14:00:00 - 15:00:00,45098.7916666667,841,841.2167,0 ,0.0,100 ,10000.0
183,21-06-2023 15:00:00 - 16:00:00,45098.8333333333,839,838.8667,0 ,0.0,100 ,10000.0
184,21-06-2023 16:00:00 - 17:00:00,45098.875,838,838.0333,0 ,0.0,100 ,10000.0
185,21-06-2023 17:00:00 - 18:00:00,45098.9166666667,848,848.45,0 ,0.0,100 ,10000.0
186,21-06-2023 18:00:00 - 19:00:00,45098.9583333333,846,846.1167,0 ,0.0,100 ,10000.0
187,21-06-2023 19:00:00 - 20:00:00,45099.0,849,848.8167,0 ,0.0,100 ,10000.0
188,21-06-2023 20:00:00 - 21:00:00,45099.0416666667,842,842.4667,0 ,0.0,100 ,10000.0
189,21-06-2023 21:00:00 - 22:00:00,45099.0833333333,876,875.5,0 ,0.0,100 ,10000.0
190,21-06-2023 22:00:00 - 23:00:00,45099.125,848,848.2,0 ,0.0,100 ,10000.0
191,21-06-2023 23:00:00 - 0:00:00,45099.1666666667,844,843.8833,0 ,0.0,100 ,10000.0
192,22-06-2023 0:00:00 - 1:00:00,45099.2083333333,1.224,1223.8,0 ,0.0,100 ,10000.0
193,22-06-2023 1:00:00 - 2:00:00,45099.25,902,901.6667,0 ,0.0,100 ,10000.0
194,22-06-2023 2:00:00 - 3:00:00,45099.2916666667,842,841.9167,0 ,0.0,100 ,10000.0
195,22-06-2023 3:00:00 - 4:00:00,45099.3333333333,837,836.7,0 ,0.0,100 ,10000.0
